id,first_name,last_name,phone_number,specialization,work_experience
97,Ипат,Авдеев,+7 (968) 936 90-13,Автоэлектрик,10.3
98,Адам,Герасимов,+7 (938) 629 37-20,Автоэлектрик,15.1
99,Фома,Шарапов,+7 (956) 977 03-24,Шиномонтажник,14.0
100,Парамон,Соколов,+7 (996) 446 66-02,Автоэлектрик,6.3
101,Ладимир,Колесников,+7 (923) 766 50-62,Шиномонтажник,23.3
102,Афиноген,Гусев,+7 (905) 101 85-46,Автомаляр,11.5
103,Моисей,Кабанов,+7 (941) 828 87-32,Кузовщик,3.1
104,Константин,Поляков,+7 (981) 435 95-56,Автомаляр,17.0
105,Ярослав,Самойлов,+7 (933) 534 66-89,Автомеханик,7.7
106,Севастьян,Пономарев,+7 (953) 180 13-69,Автомеханик,20.7
107,Наркис,Панов,+7 (971) 444 53-25,Автоэлектрик,28.5
108,Анисим,Евсеев,+7 (913) 557 37-16,Автоэлектрик,28.7
109,Матвей,Филатов,+7 (946) 335 55-36,Шиномонтажник,19.9
110,Арефий,Лебедев,+7 (932) 174 40-86,Автомаляр,10.0
111,Измаил,Красильников,+7 (905) 393 10-10,Шиномонтажник,11.7
112,Милен,Архипов,+7 (976) 809 67-01,Автоэлектрик,16.6
113,Фотий,Зыков,+7 (903) 308 18-78,Автомеханик,7.0
114,Гремислав,Фомичев,+7 (979) 743 52-62,Кузовщик,11.8
115,Тарас,Лаврентьев,+7 (957) 951 76-82,Шиномонтажник,20.5
116,Гаврила,Селиверстов,+7 (918) 990 01-84,Рихтовщик,21.9
117,Варфоломей,Уваров,+7 (930) 183 45-65,Автомеханик,8.8
118,Измаил,Орехов,+7 (996) 629 09-81,Автоэлектрик,28.4
119,Флорентин,Колесников,+7 (994) 494 83-41,Автомаляр,2.0
120,Рубен,Громов,+7 (919) 185 53-43,Автоэлектрик,2.0
121,Егор,Романов,+7 (940) 542 50-26,Кузовщик,16.6
122,Будимир,Нестеров,+7 (932) 304 64-93,Автоэлектрик,14.0
123,Валерий,Рыбаков,+7 (941) 805 64-74,Автоэлектрик,3.9
124,Амвросий,Костин,+7 (992) 712 17-90,Автослесарь,9.2
125,Епифан,Кузнецов,+7 (918) 851 48-94,Автомаляр,21.3
126,Эмиль,Михайлов,+7 (982) 588 62-31,Автослесарь,28.1
127,Рубен,Сидоров,+7 (901) 980 15-40,Автомаляр,12.4
128,Зосима,Кириллов,+7 (950) 791 97-98,Автослесарь,6.6
129,Милован,Кошелев,+7 (933) 707 87-17,Автослесарь,8.0
130,Аскольд,Матвеев,+7 (995) 286 02-21,Кузовщик,14.0
131,Карл,Симонов,+7 (969) 365 91-38,Автоэлектрик,6.7
132,Адам,Авдеев,+7 (932) 811 37-07,Автослесарь,25.0
133,Варфоломей,Кузнецов,+7 (965) 242 08-15,Автослесарь,6.4
134,Филимон,Жуков,+7 (992) 406 06-94,Автомаляр,30.0
135,Фока,Муравьев,+7 (953) 124 87-16,Автоэлектрик,12.0
136,Софон,Родионов,+7 (942) 504 90-35,Шиномонтажник,2.6
137,Спиридон,Тарасов,+7 (916) 537 35-92,Кузовщик,22.1
138,Христофор,Капустин,+7 (999) 201 82-27,Кузовщик,8.5
139,Амвросий,Новиков,+7 (934) 664 23-20,Кузовщик,7.1
140,Никандр,Гордеев,+7 (940) 229 83-36,Автослесарь,3.0
141,Ростислав,Власов,+7 (950) 935 11-50,Автоэлектрик,8.5
142,Самуил,Богданов,+7 (938) 181 76-48,Автоэлектрик,31.7
143,Пров,Туров,+7 (976) 807 95-05,Рихтовщик,8.7
144,Сократ,Трофимов,+7 (985) 899 82-59,Рихтовщик,27.3
145,Будимир,Селиверстов,+7 (997) 355 39-41,Кузовщик,25.7
146,Юрий,Лаврентьев,+7 (923) 687 97-91,Автоэлектрик,2.1
147,Софон,Игнатов,+7 (944) 872 85-46,Автомеханик,25.7
148,Денис,Медведев,+7 (980) 193 73-04,Шиномонтажник,7.9
149,Валентин,Романов,+7 (933) 562 21-36,Автомаляр,22.7
150,Измаил,Корнилов,+7 (930) 807 57-05,Шиномонтажник,22.8
151,Всеслав,Якушев,+7 (959) 792 16-03,Рихтовщик,30.0
152,Ратибор,Петухов,+7 (912) 662 12-66,Кузовщик,26.4
153,Аникита,Козлов,+7 (905) 634 67-73,Автомеханик,16.4
154,Ананий,Назаров,+7 (916) 210 88-65,Автомаляр,7.9
155,Ярополк,Дьячков,+7 (963) 188 07-60,Рихтовщик,10.0
156,Панкрат,Уваров,+7 (928) 620 44-26,Автомеханик,23.9
157,Мир,Одинцов,+7 (957) 657 30-20,Шиномонтажник,4.1
158,Ян,Кондратьев,+7 (965) 935 82-33,Автомаляр,11.6
159,Сергей,Бобылев,+7 (948) 787 30-09,Автомеханик,3.2
160,Амвросий,Белов,+7 (926) 106 35-92,Автомеханик,24.6
161,Вацлав,Ильин,+7 (918) 150 91-20,Автоэлектрик,4.8
162,Зосима,Молчанов,+7 (994) 217 62-56,Кузовщик,12.2
163,Никон,Артемьев,+7 (961) 433 92-36,Рихтовщик,19.5
164,Ипполит,Колесников,+7 (994) 890 28-97,Автослесарь,7.1
165,Мирон,Симонов,+7 (969) 553 19-11,Автослесарь,30.2
166,Аверкий,Антонов,+7 (996) 844 92-13,Шиномонтажник,12.0
167,Геннадий,Кудряшов,+7 (935) 697 69-02,Автоэлектрик,2.7
168,Ананий,Тимофеев,+7 (949) 811 15-02,Шиномонтажник,14.1
169,Фома,Трофимов,+7 (950) 623 32-72,Кузовщик,4.8
170,Анисим,Матвеев,+7 (913) 101 49-70,Автомеханик,8.8
171,Ратмир,Крюков,+7 (922) 756 19-81,Рихтовщик,29.7
172,Христофор,Маслов,+7 (942) 526 96-66,Автомеханик,2.3
173,Матвей,Суханов,+7 (956) 901 02-97,Кузовщик,3.1
174,Максимильян,Филиппов,+7 (926) 459 58-03,Автослесарь,9.7
175,Матвей,Марков,+7 (907) 474 62-22,Автоэлектрик,5.7
176,Карп,Осипов,+7 (980) 337 04-63,Кузовщик,7.4
177,Пахом,Лыткин,+7 (952) 946 99-95,Кузовщик,7.0
178,Виктор,Колобов,+7 (954) 995 16-81,Рихтовщик,27.8
179,Сила,Павлов,+7 (919) 772 63-63,Кузовщик,19.5
180,Олег,Комаров,+7 (954) 314 04-13,Автослесарь,18.8
181,Лазарь,Жданов,+7 (943) 424 78-94,Кузовщик,14.3
182,Лучезар,Комиссаров,+7 (932) 780 62-67,Автослесарь,9.3
183,Зосима,Данилов,+7 (968) 356 18-02,Кузовщик,25.3
184,Егор,Кошелев,+7 (938) 359 98-13,Кузовщик,8.5
185,Родион,Носов,+7 (935) 423 39-41,Автомаляр,24.8
186,Арсений,Мишин,+7 (973) 144 15-12,Автомеханик,20.9
187,Петр,Евсеев,+7 (921) 186 44-10,Кузовщик,4.0
188,Ульян,Субботин,+7 (950) 292 18-60,Автоэлектрик,31.1
189,Эммануил,Лобанов,+7 (901) 203 89-62,Рихтовщик,22.3
190,Адриан,Сазонов,+7 (977) 316 81-38,Автоэлектрик,29.9
191,Константин,Воронцов,+7 (922) 225 05-74,Автомеханик,23.0
192,Святополк,Мамонтов,+7 (976) 207 49-52,Автомеханик,22.5
193,Ираклий,Игнатьев,+7 (920) 747 15-96,Кузовщик,3.4
194,Леон,Лихачев,+7 (962) 134 15-66,Кузовщик,24.2
195,Мечислав,Субботин,+7 (916) 443 39-55,Автоэлектрик,26.0
196,Владислав,Ситников,+7 (909) 587 52-92,Рихтовщик,11.9
197,Доброслав,Шашков,+7 (932) 186 55-12,Автослесарь,21.3
198,Осип,Филиппов,+7 (993) 250 32-19,Кузовщик,29.7
199,Светозар,Панфилов,+7 (998) 918 32-62,Рихтовщик,29.7
200,Фирс,Быков,+7 (984) 960 27-12,Кузовщик,19.1
201,Кир,Красильников,+7 (970) 799 50-05,Кузовщик,3.4
202,Эраст,Цветков,+7 (954) 461 28-29,Рихтовщик,3.4
203,Ефим,Молчанов,+7 (997) 837 98-29,Автоэлектрик,26.6
204,Руслан,Ефимов,+7 (968) 911 69-23,Автослесарь,30.9
205,Парамон,Антонов,+7 (927) 364 63-16,Автоэлектрик,17.3
206,Виталий,Рогов,+7 (946) 762 66-97,Шиномонтажник,23.6
207,Ким,Давыдов,+7 (912) 394 81-42,Автослесарь,12.7
208,Никандр,Борисов,+7 (907) 247 75-11,Шиномонтажник,21.4
209,Семен,Фомичев,+7 (933) 774 12-88,Кузовщик,10.3
210,Михей,Воробьев,+7 (989) 538 42-52,Шиномонтажник,8.1
211,Арсений,Филатов,+7 (979) 465 13-84,Автоэлектрик,1.6
212,Борис,Лобанов,+7 (903) 108 67-31,Автомеханик,10.7
213,Иван,Авдеев,+7 (918) 102 88-92,Автомеханик,30.9
214,Мина,Вишняков,+7 (993) 246 93-26,Шиномонтажник,24.0
215,Юлий,Рыбаков,+7 (957) 129 97-20,Автослесарь,30.7
216,Олимпий,Суханов,+7 (932) 548 21-61,Шиномонтажник,28.0
217,Наум,Вишняков,+7 (916) 607 02-26,Кузовщик,7.1
218,Трофим,Белозеров,+7 (982) 914 59-21,Автомеханик,16.1
219,Ладимир,Евсеев,+7 (933) 945 55-44,Автоэлектрик,18.9
220,Сигизмунд,Беспалов,+7 (920) 188 04-17,Автоэлектрик,4.5
221,Илья,Гущин,+7 (962) 427 32-54,Автослесарь,31.1
222,Игорь,Котов,+7 (947) 766 74-12,Рихтовщик,17.8
223,Федосий,Федотов,+7 (979) 537 02-83,Автомеханик,30.8
224,Денис,Андреев,+7 (959) 354 46-28,Автослесарь,22.8
225,Юлиан,Соловьев,+7 (962) 344 38-98,Автомаляр,14.9
226,Владислав,Нестеров,+7 (953) 963 03-51,Кузовщик,19.4
227,Изяслав,Мельников,+7 (937) 619 34-65,Автоэлектрик,22.5
228,Ростислав,Беляев,+7 (990) 666 04-13,Автослесарь,19.0
229,Дорофей,Александров,+7 (955) 595 74-64,Автомеханик,19.8
230,Исидор,Поляков,+7 (987) 194 46-58,Рихтовщик,10.0
231,Самсон,Шубин,+7 (973) 585 80-16,Кузовщик,12.2
232,Фока,Кулагин,+7 (938) 317 73-95,Автомеханик,1.3
233,Тарас,Павлов,+7 (955) 160 00-47,Рихтовщик,23.3
234,Артем,Беляев,+7 (950) 701 69-19,Кузовщик,25.1
235,Будимир,Туров,+7 (935) 101 66-74,Автослесарь,24.4
236,Аполлинарий,Алексеев,+7 (930) 752 88-05,Автомеханик,1.1
237,Мартын,Михеев,+7 (976) 637 26-31,Кузовщик,18.0
238,Ладимир,Константинов,+7 (983) 248 26-44,Автоэлектрик,15.2
239,Гаврила,Копылов,+7 (957) 497 66-16,Автомаляр,2.9
240,Парамон,Третьяков,+7 (916) 853 31-90,Автомаляр,25.0
241,Остромир,Кириллов,+7 (955) 411 60-92,Автослесарь,15.1
242,Прокл,Емельянов,+7 (919) 320 43-79,Шиномонтажник,12.3
243,Илья,Зимин,+7 (912) 551 19-33,Кузовщик,30.0
244,Гремислав,Лазарев,+7 (971) 385 08-11,Кузовщик,18.5
245,Аверкий,Суворов,+7 (963) 789 18-04,Автомеханик,15.7
246,Андроник,Носков,+7 (909) 814 23-29,Автомеханик,28.0
247,Мстислав,Авдеев,+7 (944) 573 39-20,Автослесарь,5.0
248,Савелий,Никонов,+7 (928) 966 51-00,Кузовщик,26.0
249,Никита,Борисов,+7 (904) 310 05-13,Кузовщик,22.1
250,Ананий,Бирюков,+7 (915) 394 82-89,Автослесарь,6.1
251,Яков,Жданов,+7 (989) 707 50-76,Рихтовщик,7.2
252,Мина,Алексеев,+7 (916) 725 10-33,Кузовщик,27.0
253,Яков,Самсонов,+7 (954) 836 59-85,Автослесарь,13.5
254,Гедеон,Андреев,+7 (985) 742 24-03,Рихтовщик,20.2
255,Эрнст,Аксенов,+7 (991) 208 84-56,Автомаляр,9.5
256,Юрий,Ширяев,+7 (960) 446 79-57,Рихтовщик,26.8
257,Лонгин,Кудрявцев,+7 (993) 849 84-57,Кузовщик,30.3
258,Клавдий,Панфилов,+7 (982) 609 66-68,Автомеханик,11.0
259,Милий,Кулаков,+7 (942) 609 64-22,Автомаляр,13.3
260,Радован,Кошелев,+7 (919) 956 87-04,Шиномонтажник,21.0
261,Орест,Русаков,+7 (901) 515 01-93,Автомеханик,29.6
262,Ферапонт,Поляков,+7 (983) 233 13-70,Автослесарь,26.0
263,Аполлон,Ковалев,+7 (982) 430 35-52,Кузовщик,6.9
264,Арефий,Федосеев,+7 (927) 312 00-94,Кузовщик,25.0
265,Игнатий,Симонов,+7 (984) 469 57-82,Автомаляр,9.2
266,Венедикт,Романов,+7 (950) 297 18-89,Автоэлектрик,29.0
267,Андрей,Самсонов,+7 (940) 219 26-72,Кузовщик,26.0
268,Христофор,Гуляев,+7 (927) 663 76-17,Автослесарь,24.1
269,Тит,Вишняков,+7 (939) 484 67-25,Автомеханик,23.7
270,Денис,Мухин,+7 (982) 503 85-86,Шиномонтажник,5.1
271,Стоян,Петров,+7 (981) 942 27-74,Автослесарь,6.6
272,Евстафий,Фадеев,+7 (967) 888 23-61,Автомеханик,5.5
273,Савва,Жуков,+7 (951) 264 96-37,Рихтовщик,18.3
274,Алексей,Кондратьев,+7 (944) 303 00-72,Автомеханик,27.8
275,Варфоломей,Андреев,+7 (983) 468 58-62,Шиномонтажник,16.6
276,Давыд,Фомичев,+7 (930) 362 09-89,Шиномонтажник,16.4
277,Всеслав,Костин,+7 (911) 742 65-09,Кузовщик,21.8
278,Антонин,Зыков,+7 (939) 816 93-45,Автоэлектрик,19.4
279,Василий,Стрелков,+7 (912) 348 93-83,Шиномонтажник,30.7
280,Савватий,Трофимов,+7 (998) 553 42-22,Автослесарь,27.0
281,Спартак,Брагин,+7 (995) 121 19-65,Шиномонтажник,4.0
282,Никандр,Тихонов,+7 (995) 685 53-75,Рихтовщик,21.3
283,Филипп,Комаров,+7 (987) 990 32-65,Рихтовщик,24.8
284,Владилен,Власов,+7 (914) 924 45-83,Рихтовщик,28.1
285,Харитон,Тетерин,+7 (931) 338 44-43,Кузовщик,19.1
286,Ладимир,Ковалев,+7 (933) 439 76-88,Автомаляр,10.2
287,Корнил,Андреев,+7 (911) 815 54-90,Кузовщик,27.8
288,Артем,Данилов,+7 (968) 399 58-96,Автомеханик,20.1
289,Фирс,Фролов,+7 (959) 201 03-62,Автоэлектрик,17.0
290,Ермил,Маслов,+7 (901) 280 30-61,Автомеханик,2.0
291,Доброслав,Фомин,+7 (957) 361 51-27,Кузовщик,16.1
292,Данила,Елисеев,+7 (962) 851 00-40,Рихтовщик,17.1
293,Алексей,Стрелков,+7 (932) 335 69-55,Автомаляр,10.7
294,Влас,Осипов,+7 (980) 997 85-72,Кузовщик,7.8
295,Серафим,Николаев,+7 (944) 542 94-52,Шиномонтажник,9.1
296,Роман,Исаев,+7 (992) 178 43-42,Кузовщик,16.0
297,Евлампий,Денисов,+7 (998) 731 89-98,Рихтовщик,14.4
298,Изяслав,Максимов,+7 (902) 592 56-68,Автомаляр,17.2
299,Светозар,Родионов,+7 (939) 680 90-34,Автоэлектрик,28.0
300,Тимур,Богданов,+7 (962) 605 60-53,Автоэлектрик,25.2
301,Валентин,Корнилов,+7 (987) 319 98-73,Автоэлектрик,1.2
302,Пимен,Хохлов,+7 (959) 274 78-02,Автомаляр,1.8
303,Лаврентий,Осипов,+7 (975) 261 78-12,Шиномонтажник,10.9
304,Леон,Денисов,+7 (955) 753 67-43,Рихтовщик,28.0
305,Мстислав,Туров,+7 (962) 169 34-68,Автомеханик,5.1
306,Всеслав,Муравьев,+7 (923) 810 95-03,Автоэлектрик,31.1
307,Павел,Белоусов,+7 (936) 266 65-20,Шиномонтажник,5.0
308,Мариан,Константинов,+7 (913) 797 38-60,Автомаляр,5.4
309,Влас,Горбунов,+7 (912) 671 42-60,Шиномонтажник,6.5
310,Милан,Мясников,+7 (953) 516 17-84,Автомеханик,7.0
311,Харитон,Носков,+7 (974) 711 84-81,Автослесарь,5.0
312,Галактион,Мамонтов,+7 (957) 840 14-54,Рихтовщик,11.0
313,Онуфрий,Брагин,+7 (925) 891 16-10,Автомеханик,24.4
314,Анисим,Мельников,+7 (941) 293 16-87,Автомаляр,28.3
315,Август,Гусев,+7 (956) 680 68-47,Автоэлектрик,17.2
316,Кондратий,Кулаков,+7 (936) 720 18-31,Автомеханик,19.6
317,Аверьян,Терентьев,+7 (944) 142 06-05,Кузовщик,8.8
318,Велимир,Ларионов,+7 (975) 104 76-68,Автомеханик,14.9
319,Олимпий,Королев,+7 (922) 121 44-52,Автомаляр,25.4
320,Автоном,Быков,+7 (987) 983 64-18,Рихтовщик,31.2
321,Болеслав,Котов,+7 (933) 346 78-75,Автомеханик,19.9
322,Карл,Кузьмин,+7 (942) 601 31-93,Автоэлектрик,25.0
323,Аникей,Морозов,+7 (921) 997 68-31,Кузовщик,13.0
324,Радислав,Ситников,+7 (994) 282 04-28,Автомаляр,21.6
325,Данила,Петухов,+7 (948) 767 04-92,Кузовщик,24.0
326,Аникей,Елисеев,+7 (974) 714 33-14,Кузовщик,7.8
327,Влас,Архипов,+7 (992) 900 40-86,Автомаляр,26.4
328,Сильвестр,Емельянов,+7 (981) 186 39-16,Автомеханик,7.9
329,Авдей,Ильин,+7 (929) 721 91-04,Автомаляр,11.3
330,Лаврентий,Наумов,+7 (936) 149 48-90,Автомаляр,29.5
331,Эмиль,Блинов,+7 (935) 762 49-49,Автомаляр,16.6
332,Антонин,Шубин,+7 (970) 990 71-97,Рихтовщик,10.5
333,Олег,Овчинников,+7 (944) 592 62-04,Автоэлектрик,15.0
334,Лонгин,Мясников,+7 (960) 735 09-01,Автомаляр,22.5
335,Прокофий,Королев,+7 (995) 591 52-23,Шиномонтажник,15.0
336,Борис,Авдеев,+7 (991) 854 55-18,Автоэлектрик,9.3
337,Бронислав,Сорокин,+7 (986) 562 65-18,Автомаляр,23.9
338,Будимир,Андреев,+7 (977) 772 30-64,Автомаляр,2.8
339,Казимир,Капустин,+7 (977) 728 42-16,Автоэлектрик,13.9
340,Ферапонт,Мухин,+7 (909) 138 69-10,Кузовщик,22.5
341,Зиновий,Лебедев,+7 (944) 245 03-83,Кузовщик,28.5
342,Василий,Фокин,+7 (981) 529 55-63,Автомаляр,6.7
343,Филимон,Смирнов,+7 (932) 814 23-68,Шиномонтажник,15.9
344,Лукьян,Субботин,+7 (976) 640 25-61,Автомаляр,21.9
345,Ермолай,Котов,+7 (995) 736 51-46,Автослесарь,18.0
346,Доброслав,Аксенов,+7 (988) 895 43-46,Автомеханик,13.6
347,Никодим,Юдин,+7 (904) 370 26-71,Шиномонтажник,30.7
348,Терентий,Кононов,+7 (992) 771 06-51,Автомеханик,28.0
349,Прокл,Ершов,+7 (925) 260 39-68,Шиномонтажник,32.0
350,Аристарх,Баранов,+7 (949) 246 87-67,Автослесарь,25.0
351,Мечислав,Самойлов,+7 (944) 760 73-55,Шиномонтажник,20.8
352,Парамон,Степанов,+7 (996) 988 04-09,Автомеханик,10.2
353,Виссарион,Мартынов,+7 (963) 861 48-55,Автомеханик,6.3
354,Капитон,Богданов,+7 (914) 367 06-80,Автоэлектрик,18.1
355,Болеслав,Бобров,+7 (981) 144 37-31,Шиномонтажник,13.4
356,Твердислав,Яковлев,+7 (990) 436 37-61,Кузовщик,31.1
357,Аристарх,Чернов,+7 (974) 796 65-51,Автомеханик,6.0
358,Азарий,Ефимов,+7 (940) 152 29-21,Автоэлектрик,31.7
359,Матвей,Мамонтов,+7 (908) 685 51-02,Автомеханик,6.4
360,Осип,Колобов,+7 (943) 428 63-87,Рихтовщик,24.2
361,Владилен,Елисеев,+7 (922) 449 99-64,Шиномонтажник,5.5
362,Максимильян,Некрасов,+7 (985) 339 07-74,Шиномонтажник,2.2
363,Фока,Калинин,+7 (999) 293 41-10,Автослесарь,25.3
364,Александр,Богданов,+7 (906) 263 04-63,Кузовщик,1.4
365,Никон,Зайцев,+7 (925) 126 20-35,Автоэлектрик,27.3
366,Прохор,Кондратьев,+7 (983) 313 28-11,Автомеханик,3.4
367,Юрий,Рябов,+7 (979) 875 54-37,Автомеханик,5.8
368,Ян,Симонов,+7 (971) 513 46-70,Шиномонтажник,30.7
369,Гурий,Зуев,+7 (962) 946 75-22,Рихтовщик,22.3
370,Борислав,Козлов,+7 (931) 156 99-89,Рихтовщик,23.0
371,Амвросий,Калашников,+7 (905) 234 74-12,Рихтовщик,1.3
372,Феофан,Кудрявцев,+7 (932) 369 10-92,Автомеханик,29.0
373,Матвей,Хохлов,+7 (992) 465 58-28,Автослесарь,1.1
374,Терентий,Шарапов,+7 (939) 116 09-27,Автослесарь,11.0
